target,regulation,gene1,gene2,gene3,gene4,pubmed
ackA,activation,codY,,,,http://www.ncbi.nlm.nih.gov/pubmed/16995897
ackA,activation,ccpA,,,,http://www.ncbi.nlm.nih.gov/pubmed/8226682
ahpC,repression,perR,,,,http://www.ncbi.nlm.nih.gov/pubmed/11532148
ahpF,repression,perR,,,,http://www.ncbi.nlm.nih.gov/pubmed/11532148
ald,activation,adeR,,,,http://www.ncbi.nlm.nih.gov/pubmed/22797752
alsD,?,,,,,http://www.ncbi.nlm.nih.gov/pubmed/20081037
alsD,activation,alsR,,,,http://www.ncbi.nlm.nih.gov/pubmed/7685336
alsD,repression,rex,,,,http://www.ncbi.nlm.nih.gov/pubmed/16428414
ansA,repression,ansR,,,,http://www.ncbi.nlm.nih.gov/pubmed/11914346
ansB,repression,ansR,,,,http://www.ncbi.nlm.nih.gov/pubmed/11914346
arsC,repression,arsR,,,,http://www.ncbi.nlm.nih.gov/pubmed/9537360
citB,repression,codY,,,,http://www.ncbi.nlm.nih.gov/pubmed/12591885
citB,repression,ccpC,,,,
citB,repression,ccpA,,,,http://www.ncbi.nlm.nih.gov/pubmed/12100558
citB,repression,fsrA,,,,http://www.ncbi.nlm.nih.gov/pubmed/18697947
citG,nothing,,,,,
citZ,repression,ccpA,ccpC,,,http://www.ncbi.nlm.nih.gov/pubmed/12100558
citZ,repression,ccpC,,,,http://www.ncbi.nlm.nih.gov/pubmed/10656796
citZ,?,citB,,,,http://www.ncbi.nlm.nih.gov/pubmed/23354745
clpC,repression,ctsR,,,,http://www.ncbi.nlm.nih.gov/pubmed/9987115;http://www.ncbi.nlm.nih.gov/pubmed/11179229;http://www.ncbi.nlm.nih.gov/pubmed/16163393;http://www.ncbi.nlm.nih.gov/pubmed/17380125
clpE,repression,ctsR,,,,http://www.ncbi.nlm.nih.gov/pubmed/10320580
clpP,repression,ctsR,,,,http://www.ncbi.nlm.nih.gov/pubmed/9987115
comQ,activation,phoP,,,,http://www.ncbi.nlm.nih.gov/pubmed/25666134
comX,nothing,,,,,
ctaA,activation,resD,,,,http://www.ncbi.nlm.nih.gov/pubmed/10972837
ctc,?,sigma factor,sigB,,,http://www.ncbi.nlm.nih.gov/pubmed/6790515
ctsR,repression,ctsR,,,,http://www.ncbi.nlm.nih.gov/pubmed/9987115
cysC,?,s-box,riboswitch,,,http://www.ncbi.nlm.nih.gov/pubmed/10094622
cysC,repression,cymR,,,,
cysH,?,s-box,riboswitch,,,http://www.ncbi.nlm.nih.gov/pubmed/10094622
cysH,repression,cymR,,,,
cysK,repression,cymR,,,,http://www.ncbi.nlm.nih.gov/pubmed/16513748
cysK,activation,spx,,,,http://www.ncbi.nlm.nih.gov/pubmed/12642660
cysP,?,s-box,riboswitch,,,http://www.ncbi.nlm.nih.gov/pubmed/10094622
cysP,repression,cymR,,,,
degU,?,degU,,,,http://www.ncbi.nlm.nih.gov/pubmed/18502860
degU,repression,tnrA,,,,http://www.ncbi.nlm.nih.gov/pubmed/18502860
degU,activation,ccpA,,,,http://www.ncbi.nlm.nih.gov/pubmed/23123903
degU,repression,sinR,,,,http://www.ncbi.nlm.nih.gov/pubmed/24317403
dfrA,nothing,,,,,
dnaA,repression,spo0A,,,,http://www.ncbi.nlm.nih.gov/pubmed/14651647
dnaN,repression,spo0A,,,,http://www.ncbi.nlm.nih.gov/pubmed/14651647
etfB,repression,fadR,,,,http://www.ncbi.nlm.nih.gov/pubmed/17189250
etfB,repression,ccpA,ptsH,,,http://www.ncbi.nlm.nih.gov/pubmed/21398533
fabD,activation,comA,,,,http://www.ncbi.nlm.nih.gov/pubmed/16091051
fabD,repression,fapR,,,,http://www.ncbi.nlm.nih.gov/pubmed/12737802
fabG,activation,comA,,,,http://www.ncbi.nlm.nih.gov/pubmed/16091051
fabG,repression,fapR,,,,http://www.ncbi.nlm.nih.gov/pubmed/12737802
folB,nothing,,,,,
folC,?,t-box,riboswitch,,,http://www.ncbi.nlm.nih.gov/pubmed/9098041
folK,nothing,,,,,
fur,repression,perR,,,,http://www.ncbi.nlm.nih.gov/pubmed/12029044
glyA,?,t-box,rNA switch,,,http://www.ncbi.nlm.nih.gov/pubmed/19258532
glyA,repression,purR,,,,http://www.ncbi.nlm.nih.gov/pubmed/2536750
groEL,repression,hrcA,,,,http://www.ncbi.nlm.nih.gov/pubmed/8576042
groES,repression,hrcA,,,,http://www.ncbi.nlm.nih.gov/pubmed/8576042
gtaB,nothing,,,,,
guaA,activation,codY,,,,http://www.ncbi.nlm.nih.gov/pubmed/12618455
guaD,activation,pucR,,,,http://www.ncbi.nlm.nih.gov/pubmed/12029039
hemA,repression,perR,,,,http://www.ncbi.nlm.nih.gov/pubmed/11532148
hemC,repression,perR,,,,http://www.ncbi.nlm.nih.gov/pubmed/11532148
hemL,repression,perR,,,,http://www.ncbi.nlm.nih.gov/pubmed/11532148
hemX,repression,perR,,,,http://www.ncbi.nlm.nih.gov/pubmed/11532148
hemZ,nothing,,,,,
hisC,?,mtrB,,,,http://www.ncbi.nlm.nih.gov/pubmed/8419914
hrcA,repression,hrcA,,,,http://www.ncbi.nlm.nih.gov/pubmed/1339421
icd,repression,ccpA,ccpC,,,http://www.ncbi.nlm.nih.gov/pubmed/12100558
icd,repression,ccpC,,,,http://www.ncbi.nlm.nih.gov/pubmed/10656796
ilvC,repression,codY,,,,http://www.ncbi.nlm.nih.gov/pubmed/12618455
ilvC,activation,ccpA,,,,http://www.ncbi.nlm.nih.gov/pubmed/12193635
ilvC,?,t-box,rNA switch,,,
ilvC,repression,tnrA,,,,http://www.ncbi.nlm.nih.gov/pubmed/15547269
infB,nothing,,,,,
iolS,repression,iolR,,,,http://www.ncbi.nlm.nih.gov/pubmed/9226270
lmrA,repression,lmrA,,,,http://www.ncbi.nlm.nih.gov/pubmed/15317768
lmrB,repression,lmrA,,,,http://www.ncbi.nlm.nih.gov/pubmed/15317768
lytA,repression,slrR,sinR,,,http://www.ncbi.nlm.nih.gov/pubmed/20351052
lytA,repression,yvrHb,,,,http://www.ncbi.nlm.nih.gov/pubmed/16306698
lytC,repression,yvrHb,,,,http://www.ncbi.nlm.nih.gov/pubmed/16306698
lytC,repression,slrR,sinR,,,http://www.ncbi.nlm.nih.gov/pubmed/20351052
mcsA,repression,ctsR,,,,http://www.ncbi.nlm.nih.gov/pubmed/9987115
mcsB,repression,ctsR,,,,http://www.ncbi.nlm.nih.gov/pubmed/9987115
mdh,repression,ccpA,ccpC,,,http://www.ncbi.nlm.nih.gov/pubmed/12100558
mdh,repression,ccpC,,,,http://www.ncbi.nlm.nih.gov/pubmed/10656796
mecA,nothing,,,,,
menD,nothing,,,,,
mraY,nothing,,,,,
mtn,?,s-box,riboswitch,,,http://www.ncbi.nlm.nih.gov/pubmed/10094622
nadE,nothing,,,,,
nusA,?,nusA,transcription,,,
odhB,repression,ccpA,,,,http://www.ncbi.nlm.nih.gov/pubmed/12850135
opuAA,activation,remA,,,,http://www.ncbi.nlm.nih.gov/pubmed/23646920
pabA,?,mtrB,,,,http://www.ncbi.nlm.nih.gov/pubmed/9084182
pabB,nothing,,,,,
pabC,nothing,,,,,
pbpD,nothing,,,,,
pbuX,?,g-box,riboswitch,,,http://www.ncbi.nlm.nih.gov/pubmed/9098051
pbuX,repression,purR,,,,http://www.ncbi.nlm.nih.gov/pubmed/11591660
pheS,?,t-box,rNA switch,,,http://www.ncbi.nlm.nih.gov/pubmed/19258532
pheT,?,t-box,rNA switch,,,http://www.ncbi.nlm.nih.gov/pubmed/19258532
plsX,activation,comA,,,,http://www.ncbi.nlm.nih.gov/pubmed/16091051
plsX,repression,fapR,,,,http://www.ncbi.nlm.nih.gov/pubmed/12737802
pta,activation,ccpA,,,,http://www.ncbi.nlm.nih.gov/pubmed/12850135
ptsG,?,glcT,rNA switch,,,http://www.ncbi.nlm.nih.gov/pubmed/
ptsG,?,,,,,http://www.ncbi.nlm.nih.gov/pubmed/20081037
pucA,activation,pucR,,,,http://www.ncbi.nlm.nih.gov/pubmed/12029039
pucB,activation,pucR,,,,http://www.ncbi.nlm.nih.gov/pubmed/12029039
pucL,activation,tnrA,,,,http://www.ncbi.nlm.nih.gov/pubmed/12823818
pucL,activation,pucR,,,,http://www.ncbi.nlm.nih.gov/pubmed/12029039
pucR,repression,pucR,,,,http://www.ncbi.nlm.nih.gov/pubmed/12029039
pucR,activation,tnrA,,,,http://www.ncbi.nlm.nih.gov/pubmed/25755103
purA,repression,purR,,,,http://www.ncbi.nlm.nih.gov/pubmed/7638212
purB,repression,,,,,http://www.ncbi.nlm.nih.gov/pubmed/7638212
purB,repression,purR,,,,http://www.ncbi.nlm.nih.gov/pubmed/2536750
purB,?,g-box,riboswitch,,,
purC,repression,,,,,http://www.ncbi.nlm.nih.gov/pubmed/7638212
purC,repression,purR,,,,http://www.ncbi.nlm.nih.gov/pubmed/2536750
purC,?,g-box,riboswitch,,,
purD,repression,purR,,,,http://www.ncbi.nlm.nih.gov/pubmed/7638212
purD,repression,purR,,,,http://www.ncbi.nlm.nih.gov/pubmed/2536750
purD,?,g-box,riboswitch,,,
purE,repression,,,,,http://www.ncbi.nlm.nih.gov/pubmed/7638212
purE,repression,purR,,,,http://www.ncbi.nlm.nih.gov/pubmed/2536750
purE,?,g-box,riboswitch,,,
purF,repression,,,,,http://www.ncbi.nlm.nih.gov/pubmed/7638212
purF,repression,purR,,,,http://www.ncbi.nlm.nih.gov/pubmed/2536750
purF,?,g-box,riboswitch,,,
purH,repression,purR,,,,http://www.ncbi.nlm.nih.gov/pubmed/7638212
purH,repression,purR,,,,http://www.ncbi.nlm.nih.gov/pubmed/2536750
purH,?,g-box,riboswitch,,,
purK,repression,,,,,http://www.ncbi.nlm.nih.gov/pubmed/7638212
purK,repression,purR,,,,http://www.ncbi.nlm.nih.gov/pubmed/2536750
purK,?,g-box,riboswitch,,,
purL,repression,,,,,http://www.ncbi.nlm.nih.gov/pubmed/7638212
purL,repression,purR,,,,http://www.ncbi.nlm.nih.gov/pubmed/2536750
purL,?,g-box,riboswitch,,,
purM,repression,,,,,http://www.ncbi.nlm.nih.gov/pubmed/7638212
purM,repression,purR,,,,http://www.ncbi.nlm.nih.gov/pubmed/2536750
purM,?,g-box,riboswitch,,,
purN,repression,purR,,,,http://www.ncbi.nlm.nih.gov/pubmed/7638212
purN,?,g-box,riboswitch,,,
purQ,repression,,,,,http://www.ncbi.nlm.nih.gov/pubmed/7638212
purQ,repression,purR,,,,http://www.ncbi.nlm.nih.gov/pubmed/2536750
purQ,?,g-box,riboswitch,,,
purS,repression,,,,,http://www.ncbi.nlm.nih.gov/pubmed/7638212
purS,repression,purR,,,,http://www.ncbi.nlm.nih.gov/pubmed/2536750
purS,?,g-box,riboswitch,,,
purT,nothing,,,,,
pyrAA,?,pyrR,rNA switch,,,http://www.ncbi.nlm.nih.gov/pubmed/8955403
pyrAB,?,pyrR,rNA switch,,,http://www.ncbi.nlm.nih.gov/pubmed/8955403
pyrB,?,pyrR,rNA switch,,,http://www.ncbi.nlm.nih.gov/pubmed/8955403
pyrC,?,pyrR,rNA switch,,,http://www.ncbi.nlm.nih.gov/pubmed/8955403
pyrD,?,pyrR,rNA switch,,,http://www.ncbi.nlm.nih.gov/pubmed/8955403
pyrE,?,pyrR,rNA switch,,,http://www.ncbi.nlm.nih.gov/pubmed/8955403
pyrF,?,pyrR,rNA switch,,,http://www.ncbi.nlm.nih.gov/pubmed/8955403
pyrK,?,pyrR,rNA switch,,,http://www.ncbi.nlm.nih.gov/pubmed/8955403
pyrP,?,pyrR,rNA switch,,,http://www.ncbi.nlm.nih.gov/pubmed/8955403
pyrR,?,pyrR,rNA switch,,,http://www.ncbi.nlm.nih.gov/pubmed/8955403
rbsB,repression,ccpA,,,,http://www.ncbi.nlm.nih.gov/pubmed/7921236
rbsB,activation,abrB,,,,http://www.ncbi.nlm.nih.gov/pubmed/7592460
ribA, no-section
ribD, no-section
ribE, no-section
ribH, no-section
rsbS,nothing,,,,,
rsbT,nothing,,,,,
rsbU,nothing,,,,,
rsbV,repression,,,,,http://www.ncbi.nlm.nih.gov/pubmed/20454630
rsbW,nothing,,,,,
rsbX,nothing,,,,,
sat,?,s-box,riboswitch,,,http://www.ncbi.nlm.nih.gov/pubmed/10094622
sat,repression,cymR,,,,
sbp,nothing,,,,,
secA,nothing,,,,,
sigB,nothing,,,,,
sinR,repression,spo0A,,,,http://www.ncbi.nlm.nih.gov/pubmed/11751836
sinR,repression,scoC,,,,http://www.ncbi.nlm.nih.gov/pubmed/
sinR,repression,abrB,,,,http://www.ncbi.nlm.nih.gov/pubmed/
sinR,repression,sinR,,,,http://www.ncbi.nlm.nih.gov/pubmed/1664536
smc,nothing,,,,,
spoVE,repression,spoIIID,,,,http://www.ncbi.nlm.nih.gov/pubmed/15383836
tagA,repression,phoP,,,,http://www.ncbi.nlm.nih.gov/pubmed/9457886
tagA,activation,walR,,,,http://www.ncbi.nlm.nih.gov/pubmed/12950927
tagB,repression,phoP,,,,http://www.ncbi.nlm.nih.gov/pubmed/9457886
tagB,activation,walR,,,,http://www.ncbi.nlm.nih.gov/pubmed/12950927
tagD,repression,phoP,,,,http://www.ncbi.nlm.nih.gov/pubmed/9457886
tagD,activation,walR,,,,http://www.ncbi.nlm.nih.gov/pubmed/12950927
tagE,repression,phoP,,,,http://www.ncbi.nlm.nih.gov/pubmed/9457886
tagE,activation,walR,,,,http://www.ncbi.nlm.nih.gov/pubmed/12950927
tagF,repression,phoP,,,,http://www.ncbi.nlm.nih.gov/pubmed/9457886
tagF,activation,walR,,,,http://www.ncbi.nlm.nih.gov/pubmed/12950927
thyB,activation,ccpN,,,,http://www.ncbi.nlm.nih.gov/pubmed/19732150
trpA,?,mtrB,,,,http://www.ncbi.nlm.nih.gov/pubmed/8419914
tyrA,?,mtrB,,,,http://www.ncbi.nlm.nih.gov/pubmed/8419914
xpt,?,g-box,riboswitch,,,http://www.ncbi.nlm.nih.gov/pubmed/9098051
xpt,repression,purR,,,,http://www.ncbi.nlm.nih.gov/pubmed/11591660
xylA,repression,ccpA,,,,http://www.ncbi.nlm.nih.gov/pubmed/8132469
xylA,repression,xylR,,,,http://www.ncbi.nlm.nih.gov/pubmed/2454911
yaaB,nothing,,,,,
yacK,repression,ctsR,,,,http://www.ncbi.nlm.nih.gov/pubmed/9987115
yazB,nothing,,,,,
yazC, no-section
ycdA, no-section
ycdH,repression,zur,,,,http://www.ncbi.nlm.nih.gov/pubmed/12426338
ycdI,repression,zur,,,,http://www.ncbi.nlm.nih.gov/pubmed/12426338
yceA,repression,zur,,,,http://www.ncbi.nlm.nih.gov/pubmed/12426338
yceC,nothing,,,,,
yceD,nothing,,,,,
yfkH,nothing,,,,,
yfkI,nothing,,,,,
yfkJ,nothing,,,,,
yhaG,repression,mtrB,rNA switch,,,http://www.ncbi.nlm.nih.gov/pubmed/10735881
yhcL,repression,cymR,,,,http://www.ncbi.nlm.nih.gov/pubmed/16513748
yjbC,repression,,,,,
yjbC,repression,perR,,,,http://www.ncbi.nlm.nih.gov/pubmed/17158660
yjbD,repression,,,,,
yjbD,repression,perR,,,,http://www.ncbi.nlm.nih.gov/pubmed/17158660
yjeA,nothing,,,,,
ykuJ,nothing,,,,,
ykuK,nothing,,,,,
ykuL,activation,spo0A,,,,http://www.ncbi.nlm.nih.gov/pubmed/14651647
ykuL,repression,ccpA,,,,http://www.ncbi.nlm.nih.gov/pubmed/16395550
